IOC, ThreatActor, Reference, Date
192.238.134.166,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.153,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.229.115.229,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
45.64.52.245,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.154,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
112.213.124.159,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
45.64.52.242,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
38.55.105.143,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
45.64.52.246,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
112.213.124.132,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.155,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.229.115.230,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.163.167.5,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.163.167.7,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.114,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.115,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.163.167.6,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
192.163.167.10,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026 
134.122.200.116,Unknown,Clausde Code e DeepSeek: campagna su scala globale verso sistemi governativi TencShell|GShell,22-07-2026
185.27.134.177,Unknown,Phishing Campain g***daw.iceiy.com,28-07-2026
147.78.47.250,STORM-1747 and more,EvilProxy - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
185.158.251.169,STORM-1747 and more,EvilProxy - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
194.76.226.166,STORM-1747 and more,EvilProxy - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
185.231.204.77,STORM-1747 and more,Tycoon2FA - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
193.124.182.69,STORM-1747 and more,Tycoon2FA - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
41.128.0.142,STORM-1747 and more,(Egypt-based relay origin)	Kratos-family kit - https://www.cryptika.com/top-10-phishing-kits-used-by-hackers-to-launch-cyberattacks-july-20-26-2026/,30-07-2026
193.118.55.74,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
104.194.222.107,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
138.197.152.201,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
146.0.77.141,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
146.0.77.155,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
146.0.77.183,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
148.113.152.144,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
162.244.34.26,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
162.244.35.6,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
179.60.150.143,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
185.104.194.156,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
185.104.194.24,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
185.104.194.40,CLOP,OSINT FEED | https://theravenfile.com/2025/11/04/clop-ransomware-dissecting-network/,05-08-2026 
