IOC, ThreatActor, Reference, Date
d60e484f8681bd4ca03c2632d2b9409ccc3e1424,Unknown,Eartworm open-source network tunneling for pivoting https://unit42.paloaltonetworks.com/captive-portal-zero-day/,10-05-2026
d42d4fb0842f0c4d88ff8614c377f0e152de3d1d,Unknown,AGENT TESLA,07-07-2026
220d38c3215cb9622b402b9701550ca8d29872b4,Unknown,RemcosRAT,13-07-2026
47e776933bb526ed0e518408a13c360ea1dd51cc,Unknown,XTI - RemcosRAT - RICHIESTA_DI_PREVENTIVO_MAS_MARINE_SRL_281000631.js,04-08-2026
961309740f586f8ee53bd86712d2e73ca31d5051,Unknown,XTI - RemcosRAT - RICHIESTA_DI_PREVENTIVO_MAS_MARINE_SRL_281000631.lzh,04-08-2026
